,AREA,INT_SQFT,DATE_SALE,DIST_MAINROAD,N_BEDROOM,N_BATHROOM,N_ROOM,SALE_COND,PARK_FACIL,DATE_BUILD,BUILDTYPE,UTILITY_AVAIL,STREET,MZZONE,REG_FEE,COMMIS,SALES_PRICE,Building_Age,YEAR_BUILD,YEAR OF SALES
77,Karapakkam,898,2009-07-22,72,1,1,3,Partial,Yes,1980-07-29,Commercial,No Sewage,Paved,RH,345190,215744,8629750,28,1980,2009
78,Anna Nagar,1928,2011-08-18,148,2,1,5,Partial,No,2001-08-20,House,All Pub,No Access,RH,466682,105003,11667050,9,2001,2011
79,Chrompet,1233,2008-02-08,24,2,1,4,AbNormal,No,1975-11-08,House,No Sewage,Gravel,RM,245429,107989,9817150,32,1975,2008
80,Velachery,1618,2007-07-30,100,2,1,4,Adj Land,Yes,1967-09-08,Others,No Sewage,Paved,C,370522,92631,9263050,39,1967,2007
81,Karapakkam,627,2011-12-08,49,1,1,2,Family,No,1983-08-19,House,No Sewage,Gravel,RM,223975,92225,6587500,28,1983,2011
82,Velachery,1563,2005-08-16,43,2,1,4,Family,No,1977-08-23,House,No Sewage,Gravel,RM,303780,195987,9799360,27,1977,2005
83,Karapakkam,1693,2009-07-30,187,2,2,4,Normal Sale,Yes,2003-01-08,Commercial,No Sewage,Gravel,C,384045,166420,12801500,6,2003,2009
84,T Nagar,1522,2009-03-30,85,1,1,4,Partial,No,1966-10-04,Commercial,All Pub,Gravel,RL,506181,174545,17454510,42,1966,2009
85,Adyar,1090,2008-07-21,171,1,1,3,Partial,Yes,1980-07-28,Others,No Sewage,Gravel,RH,373632,98324,9832420,27,1980,2008
86,Chrompet,1085,2014-01-19,149,1,1,3,AbNormal,Yes,2008-01-21,Commercial,No Sewage,Gravel,RL,387815,100545,14363500,5,2008,2014
87,T Nagar,1687,2009-08-13,73,1,1,4,AbNormal,No,1996-08-16,Others,No Sewage,Paved,RH,411733,224582,12476770,12,1996,2009
88,Adyar,692,2008-12-09,62,1,1,2,Normal Sale,Yes,1971-09-22,Commercial,All Pub,Paved,RH,394491,124576,10381355,37,1971,2008
89,T Nagar,1518,2008-03-07,145,1,1,4,Family,Yes,1971-07-13,Commercial,All Pub,Paved,RH,457606,158402,17600240,36,1971,2008
90,Adyar,1025,2008-10-05,125,1,1,3,Partial,No,1983-05-17,Commercial,No Sewage,Paved,I,349916,142153,10934875,25,1983,2008
91,KK Nagar,2170,2010-07-20,121,3,2,5,Family,Yes,2002-07-22,House,No Sewage,Gravel,RL,593864,284560,12372160,7,2002,2010
92,Chrompet,969,2011-05-23,70,1,1,3,Family,Yes,1994-05-27,Commercial,ELO,No Access,RH,337463,146234,11248750,16,1994,2011
93,KK Nagar,1546,2008-09-04,129,2,1,4,AbNormal,No,1981-04-16,Commercial,All Pub,Gravel,RM,441475,142411,14241140,27,1981,2008
94,KK Nagar,1709,2009-10-24,6,2,1,4,AbNormal,Yes,1989-10-29,House,No Sewage,Paved,RL,467388,233694,10160600,19,1989,2009
95,T Nagar,1659,2013-07-04,103,1,1,4,Adj Land,Yes,1995-12-04,Others,No Sewage,No Access,RL,433251,216625,13539080,17,1995,2013
96,Chrompet,755,2015-09-01,8,1,1,2,Normal Sale,No,1982-01-17,Commercial,ELO,Gravel,RM,289649,42911,10727750,33,1982,2015
97,Adyar,1182,2007-10-24,50,1,1,3,Normal Sale,Yes,1990-10-28,House,All Pub,No Access,RL,374948,39468,9867055,16,1990,2007
98,Adyar,735,2012-06-03,67,1,1,2,Adj Land,No,1998-10-03,Commercial,No Sewage,No Access,RH,284361,132702,9478710,13,1998,2012
99,Chrompet,1089,2013-04-19,0,1,1,3,Normal Sale,Yes,1981-04-27,House,ELO,Paved,RL,235305,45251,9050200,31,1981,2013
100,Velachery,1534,2005-04-01,6,2,1,4,Partial,Yes,1952-01-18,Others,ELO,Paved,C,284552,63234,7904210,53,1952,2005
101,Anna Nagar,1622,2007-07-26,147,1,1,4,Family,Yes,2002-07-27,House,ELO,Gravel,RL,378840,209015,13063450,4,2002,2007
102,KK Nagar,2198,2008-04-09,71,3,2,5,Partial,Yes,1987-10-09,Others,No Sewage,Gravel,RM,679249,122265,13584980,20,1987,2008
103,Chrompet,1293,2014-09-05,34,2,1,4,Normal Sale,No,1975-05-19,Commercial,ELO,No Access,RL,419714,157393,13116050,39,1975,2014
104,KK Nagar,1641,2009-10-17,178,2,1,4,Partial,No,1980-10-24,Others,All Pub,Gravel,RL,460580,190239,10012600,28,1980,2009
105,Velachery,1950,2005-03-09,185,3,2,5,Adj Land,Yes,1964-09-13,Others,No Sewage,Paved,RL,411601,84741,12105920,40,1964,2005
106,Karapakkam,1245,2011-08-26,106,1,1,3,Partial,No,1983-02-09,Others,No Sewage,Paved,A,201653,113123,4918375,28,1983,2011
107,Chrompet,905,2009-12-09,144,1,1,3,Family,No,1976-09-20,Others,ELO,Gravel,RH,223393,77032,7703200,33,1976,2009
108,KK Nagar,1496,2012-02-24,135,2,1,4,Family,No,1998-02-27,House,No Sewage,Gravel,RH,265641,137105,8569080,13,1998,2012
109,Velachery,1892,2005-11-22,38,3,2,5,Adj Land,Yes,1969-01-12,House,ELO,Gravel,RM,449425,133613,12146620,36,1969,2005
110,Velachery,1517,2010-05-07,40,2,1,4,Family,No,1999-08-07,Commercial,ELO,Paved,C,408507,116716,11671620,10,1999,2010
111,Adyar,1034,2009-05-30,73,1,1,3,Adj Land,Yes,1993-03-06,Others,ELO,Gravel,C,277702,46284,9256740,16,1993,2009
112,Velachery,1755,2009-06-06,142,2,1,4,Family,Yes,1974-06-15,Commercial,No Sewage,Gravel,I,581720,193907,14915900,34,1974,2009
113,Anna Nagar,1622,2013-04-20,79,1,1,4,Adj Land,Yes,2006-04-22,House,No Sewage,Paved,RM,406434,243860,13547790,6,2006,2013
114,Chrompet,1092,2013-05-13,89,1,1,3,Normal Sale,No,2009-05-14,Others,All Pub,No Access,RH,246391,57491,8213040,3,2009,2013
115,Chrompet,821,2014-02-01,34,1,1,3,Adj Land,No,2006-04-01,House,No Sewage,Paved,RH,182600,65736,7304000,7,2006,2014
116,KK Nagar,1694,2008-07-07,72,2,1,4,Family,No,1997-10-07,Others,No Sewage,Gravel,RL,353291,114300,10390900,10,1997,2008
117,Anna Nagar,1809,2010-03-22,177,2,1,5,Family,No,1984-03-28,Commercial,All Pub,No Access,RL,518585,230482,19206870,25,1984,2010
118,Karapakkam,1401,2011-05-11,20,2,2,4,Partial,Yes,1997-08-11,Others,All Pub,Gravel,RL,438477,229204,9965375,13,1997,2011
119,Karapakkam,1470,2011-02-26,99,2,2,4,AbNormal,No,1986-04-03,Others,No Sewage,No Access,RH,302694,172968,7207000,24,1986,2011
120,Chrompet,798,2013-04-15,166,1,1,2,Partial,No,1976-04-24,Commercial,No Sewage,Paved,RH,253975,145129,9070550,36,1976,2013
121,Chrompet,764,2008-02-21,137,1,1,2,Partial,No,2000-02-23,House,ELO,No Access,RH,158766,90723,5670200,7,2000,2008
122,Chrompet,1135,2008-09-25,50,1,1,3,AbNormal,No,1985-01-10,Others,No Sewage,No Access,RM,296102,148051,9253200,23,1985,2008
123,Karapakkam,939,2009-07-23,74,1,1,3,AbNormal,No,1971-02-08,House,ELO,No Access,I,214700,38646,4294000,38,1971,2009
124,Karapakkam,1586,2009-08-27,59,2,2,4,Normal Sale,Yes,1981-03-09,Commercial,No Sewage,Gravel,RM,586956,200424,14316000,28,1981,2009
125,T Nagar,1973,2007-01-29,63,2,1,5,Family,Yes,1972-07-02,Commercial,All Pub,Gravel,RM,885666,116535,23307000,34,1972,2007
126,Chrompet,1023,2007-11-05,44,1,1,3,Partial,Yes,1990-05-15,House,All Pub,Paved,RM,282319,38941,9735150,17,1990,2007
127,Chrompet,884,2010-09-22,75,1,1,3,Normal Sale,No,2006-09-23,Commercial,No Sewage,No Access,RM,283410,45346,11336400,3,2006,2010
128,Anna Nagar,1640,2010-05-14,113,1,1,4,Adj Land,No,2005-05-15,Commercial,ELO,No Access,RH,495645,194718,17701600,4,2005,2010
129,Adyar,622,2007-06-20,60,1,1,2,Normal Sale,No,1987-06-25,Others,ELO,No Access,RL,216906,72302,6572900,19,1987,2007
130,Anna Nagar,1880,2009-11-23,90,2,1,5,Partial,Yes,1993-11-27,House,No Sewage,No Access,RM,483229,214768,13423020,15,1993,2009
131,KK Nagar,2413,2010-03-13,166,4,2,6,AbNormal,No,2001-03-15,Others,No Sewage,Paved,RM,419905,170587,13122040,8,2001,2010
132,T Nagar,1649,2009-02-28,169,1,1,4,Adj Land,No,1984-06-03,Commercial,All Pub,Gravel,RH,681808,113635,18939100,24,1984,2009
133,Velachery,1729,2008-08-02,144,2,1,4,Partial,Yes,1967-02-18,Commercial,No Sewage,Paved,A,396911,128036,12803570,41,1967,2008
134,T Nagar,1942,2014-12-20,10,2,1,5,Family,No,1977-12-29,House,No Sewage,Gravel,RH,320599,61654,12330740,36,1977,2014
135,Chrompet,711,2014-12-05,116,1,1,2,Adj Land,Yes,2002-05-15,Others,No Sewage,No Access,RL,249558,64402,8050270,12,2002,2014
136,Chrompet,885,2013-09-19,122,1,1,3,Family,No,1981-09-27,House,ELO,No Access,RM,237422,107919,7194600,31,1981,2013
137,KK Nagar,1688,2009-10-30,148,2,1,4,AbNormal,Yes,1994-03-11,House,No Sewage,Gravel,RM,547810,285318,11412700,15,1994,2009
138,Adyar,1236,2007-10-17,108,2,2,4,Family,No,1970-10-26,Commercial,ELO,Gravel,A,481414,24071,12035355,36,1970,2007
139,Karapakkam,926,2011-06-29,98,1,1,3,Family,No,1991-04-07,House,ELO,Gravel,RL,288834,68770,6877000,20,1991,2011
140,KK Nagar,1686,2009-04-30,57,2,1,4,AbNormal,No,1985-06-05,Others,No Sewage,Paved,RM,382817,196582,10346400,23,1985,2009
141,Karapakkam,1344,2009-12-16,129,2,2,4,Adj Land,No,1959-12-29,Commercial,No Sewage,Gravel,RH,453999,259428,10809500,49,1959,2009
142,KK Nagar,1437,2012-02-04,104,2,1,4,Family,No,1989-08-04,Others,All Pub,Gravel,RM,489629,102006,10200600,22,1989,2012
143,Karapakkam,1430,2009-02-10,17,2,2,4,AbNormal,Yes,1999-05-10,Others,No Sewage,No Access,A,238887,106172,6635750,9,1999,2009
144,Adyar,1081,2008-10-26,85,1,1,3,Family,No,1978-03-11,House,All Pub,No Access,C,241416,6190,6190150,30,1978,2008
145,Karapakkam,1352,2010-09-02,1,2,2,4,Normal Sale,Yes,1983-02-16,House,ELO,Gravel,A,240768,123638,6507250,27,1983,2010
146,KK Nagar,1986,2009-05-19,109,3,2,5,Normal Sale,No,1979-05-27,House,All Pub,Gravel,RM,476717,227008,11350400,29,1979,2009
147,Anna Nagar,1758,2008-05-12,164,1,1,4,Partial,Yes,1966-12-16,Commercial,All Pub,No Access,RL,713565,231426,19285540,41,1966,2008
148,Karapakkam,607,2010-08-09,121,1,1,2,Normal Sale,No,1964-09-19,Others,No Sewage,Gravel,RL,175699,117133,5856625,45,1964,2010
149,KK Nagar,2139,2008-10-24,136,3,2,5,Normal Sale,Yes,1987-10-30,Others,No Sewage,Paved,RL,424048,249440,12472000,20,1987,2008
150,KK Nagar,1488,2010-02-28,97,2,1,4,Partial,No,1983-07-03,Others,All Pub,Paved,RH,405211,202606,8441900,26,1983,2010
151,Velachery,1645,2006-01-27,96,2,1,4,Partial,No,1980-03-02,House,No Sewage,No Access,RH,250118,75793,7579320,25,1980,2006
152,Chrompet,950,2009-07-12,177,1,1,3,Normal Sale,Yes,1983-12-14,Others,No Sewage,Gravel,RL,273252,146385,9759000,25,1983,2009
153,Chrompet,928,2014-01-25,90,1,1,3,Partial,Yes,2010-01-26,Commercial,All Pub,Gravel,RH,409985,62119,12423800,3,2010,2014
154,Velachery,1693,2008-12-17,145,2,1,4,Normal Sale,Yes,1955-12-31,Commercial,No Sewage,Paved,RM,604335,108470,15495760,52,1955,2008
155,Velachery,1873,2007-02-12,0,3,2,5,Family,Yes,1986-07-12,Others,ELO,No Access,RL,363735,198401,11022270,20,1986,2007
156,Adyar,721,2010-04-11,145,1,1,2,Partial,No,2000-06-11,Others,No Sewage,Paved,RL,273800,60844,7605550,9,2000,2010
157,Karapakkam,1190,2011-03-11,37,1,1,3,Family,Yes,1982-10-11,House,No Sewage,Gravel,RH,342613,127484,7967750,28,1982,2011
158,KK Nagar,1593,2011-04-17,9,2,1,4,Partial,No,1994-04-21,Others,All Pub,Paved,RH,402606,223670,8946800,16,1994,2011
159,Chrompet,786,2010-02-22,181,1,1,2,AbNormal,Yes,1998-02-25,Others,ELO,Gravel,RL,249610,83203,9244820,11,1998,2010
160,Chrompet,1195,2011-06-12,93,1,1,3,Adj Land,No,1992-10-12,Others,No Sewage,Paved,RL,265183,29465,9821600,18,1992,2011
161,Velachery,1824,2009-03-04,187,3,2,5,Normal Sale,No,1976-11-04,House,No Sewage,Paved,I,273570,76942,8549060,32,1976,2009
162,KK Nagar,1906,2008-03-26,81,3,2,5,AbNormal,Yes,2001-03-28,Commercial,No Sewage,Paved,RH,792637,206086,15852740,6,2001,2008
163,Adyar,656,2010-09-24,20,1,1,2,AbNormal,No,2001-09-26,Commercial,All Pub,Paved,I,280244,113849,8757635,8,2001,2010
164,Chrompet,727,2007-05-28,84,1,1,2,AbNormal,No,1991-01-06,Others,ELO,Gravel,RM,218816,100992,8415990,16,1991,2007
165,Adyar,931,2010-06-24,37,1,1,3,Family,Yes,1977-02-07,Others,ELO,Paved,RM,367617,19871,9935595,33,1977,2010
166,Velachery,1898,2007-12-01,108,3,2,5,Adj Land,Yes,1969-01-21,Commercial,ELO,No Access,RM,581625,332357,16617860,38,1969,2007
167,Anna Nagar,1698,2007-06-27,15,1,1,4,Family,No,1967-07-07,House,No Sewage,Gravel,RM,359949,198593,12412050,39,1967,2007
168,T Nagar,1926,2007-05-27,193,2,1,5,Adj Land,Yes,1990-05-31,Commercial,No Sewage,No Access,RM,633655,203675,22630540,16,1990,2007
169,Karapakkam,1481,2010-12-17,144,2,2,4,Partial,Yes,1972-12-26,Commercial,All Pub,Paved,A,485174,178227,9901500,37,1972,2010
170,Anna Nagar,1506,2007-06-09,122,1,1,4,Family,No,1974-09-14,House,ELO,No Access,RM,417996,177648,10449910,32,1974,2007
171,Chrompet,1020,2014-01-11,95,1,1,3,Family,No,1990-07-11,House,No Sewage,No Access,RM,206664,31794,7948600,23,1990,2014
172,Chrompet,889,2008-10-21,196,1,1,3,AbNormal,No,1987-10-27,Others,ELO,Gravel,RM,300256,136480,9098680,20,1987,2008
173,Chrompet,1015,2012-11-01,147,1,1,3,Family,Yes,1977-01-19,House,All Pub,Paved,RH,275314,66743,8342850,35,1977,2012
174,T Nagar,1682,2011-04-03,78,1,1,4,AbNormal,No,1976-12-03,Commercial,All Pub,Gravel,RH,690507,111974,18662350,34,1976,2011
175,Chrompet,869,2013-01-05,39,1,1,3,Family,No,1995-06-05,Others,No Sewage,No Access,RM,220661,138935,8172630,17,1995,2013
176,Karapakkam,1445,2012-03-29,20,2,2,4,Family,No,1988-04-04,House,No Sewage,No Access,I,216691,87848,5856500,23,1988,2012
177,Anna Nagar,1919,2014-06-25,178,2,1,5,Partial,Yes,2001-06-28,House,No Sewage,Gravel,RM,544054,117633,14704160,12,2001,2014
178,Adyar,1243,2011-07-17,141,2,2,4,Normal Sale,Yes,1975-07-26,Commercial,No Sewage,Paved,C,440895,26721,13360440,35,1975,2011
179,Karapakkam,857,2010-05-09,158,1,1,2,Normal Sale,No,1993-09-09,House,ELO,Paved,I,236556,59139,4928250,16,1993,2010
180,Karapakkam,1055,2010-03-04,174,1,1,3,Adj Land,Yes,1962-04-15,Others,No Sewage,Gravel,I,226769,117042,7315125,47,1962,2010
181,KK Nagar,1778,2011-10-07,94,3,2,5,Family,No,2003-12-07,Others,No Sewage,Gravel,RL,340948,153976,10998320,7,2003,2011
182,Karapakkam,851,2011-06-15,124,1,1,2,Adj Land,No,1970-06-25,Others,ELO,Paved,A,181073,39364,3936375,40,1970,2011
183,Chrompet,1021,2008-06-03,82,1,1,3,Partial,Yes,2004-07-03,Others,No Sewage,No Access,RL,276053,147228,9201770,3,2004,2008
